N,P,K,temperature,humidity,ph,rainfall,label
23.1,14.88,12.58,18.81,92.91,6.73,112.34,orange
21.2,23.65,45.85,20.16,89.34,6.39,100.29,pomegranate
25.16,65.51,23.2,19.48,19.33,5.78,91.23,kidneybeans
104.17,29.94,50.58,26.25,86.44,6.43,45.76,watermelon
22.48,47.38,19.73,31.03,78.46,6.46,60.18,mungbean
38.58,68.35,21.82,31.59,65.65,7.2,57.41,blackgram
112.78,51.66,38.13,26.21,85.29,6.19,242.03,rice
98.1,45.62,36.54,25.12,89.77,5.23,256.89,rice
114.78,42.83,16.23,24.99,79.56,5.78,71.74,cotton
105.27,49.7,17.06,24.63,78.44,5.86,88.0,cotton
12.38,61.1,19.3,22.92,55.06,5.29,214.95,pigeonpeas
42.5,25.6,12.55,27.92,90.45,8.26,107.05,orange
51.91,62.38,22.73,28.63,61.66,7.02,71.45,blackgram
20.46,70.61,21.34,25.93,60.76,6.63,42.15,lentil
110.47,87.9,49.96,21.33,78.4,5.84,100.11,banana
17.31,28.22,42.14,34.8,50.57,5.55,96.34,mango
77.56,53.53,22.97,19.74,67.99,6.51,81.28,maize
22.45,135.81,191.07,23.01,92.49,6.21,118.22,apple
14.25,18.72,34.6,19.01,90.45,5.51,102.59,pomegranate
27.79,28.54,42.71,32.61,48.99,5.75,95.59,mango
121.57,47.93,18.64,24.83,75.34,6.05,75.15,cotton
35.45,52.75,22.18,28.29,82.2,6.64,49.97,mungbean
25.14,60.18,24.24,36.51,51.57,6.39,155.26,pigeonpeas
38.4,71.7,88.83,18.25,16.52,5.95,88.07,chickpea
21.46,110.94,197.27,22.67,92.39,5.86,106.58,apple
103.59,38.63,28.66,26.47,61.53,7.24,182.2,coffee
34.0,68.38,15.08,22.19,48.14,5.94,148.3,pigeonpeas
78.89,46.19,37.62,25.27,91.31,5.87,169.58,jute
89.0,53.22,39.42,23.49,81.23,5.77,156.38,jute
70.85,41.95,42.57,23.17,88.09,5.91,165.34,jute
62.98,50.7,46.54,33.47,89.8,6.9,209.09,papaya
33.21,70.49,17.85,30.54,65.49,6.19,49.82,lentil
21.82,120.8,200.25,11.93,82.56,6.17,64.2,grapes
102.27,56.54,35.98,23.82,85.65,6.04,202.89,rice
17.87,9.89,13.99,18.56,90.54,7.49,116.98,orange
20.52,49.81,21.46,29.37,82.28,6.9,53.84,mungbean
17.9,26.36,36.41,31.32,51.46,5.93,104.16,mango
19.8,70.95,21.56,17.28,21.87,5.78,78.26,kidneybeans
23.51,129.12,198.75,29.76,82.24,5.7,63.98,grapes
16.15,56.47,19.13,31.32,82.21,6.06,59.46,mungbean
19.82,26.66,16.6,25.77,91.94,6.56,107.04,orange
14.97,64.93,20.33,25.34,47.81,5.69,147.57,pigeonpeas
112.06,76.65,46.57,28.56,81.83,6.31,109.0,banana
95.85,53.16,45.68,23.82,85.62,5.58,214.5,rice
34.37,72.37,19.9,25.51,29.74,5.08,207.34,pigeonpeas
44.0,25.73,46.69,21.91,91.25,6.12,110.98,pomegranate
94.58,38.83,27.65,25.2,53.92,6.24,194.34,coffee
85.6,26.05,50.6,29.16,94.73,6.16,24.87,muskmelon
27.26,74.05,21.22,28.16,64.65,7.35,68.67,blackgram
54.96,66.77,51.76,37.75,92.87,6.56,90.16,papaya
43.1,56.96,49.81,33.92,95.66,6.8,38.12,papaya
26.08,9.0,43.77,20.89,89.81,6.11,114.04,pomegranate
30.36,76.6,21.76,19.88,21.13,5.93,90.12,kidneybeans
45.46,67.54,84.77,18.89,16.87,6.11,78.06,chickpea
26.04,40.71,17.83,29.62,86.64,6.65,53.82,mungbean
25.98,46.62,18.81,28.47,79.92,6.24,54.62,mungbean
25.52,23.43,33.37,37.01,49.23,5.98,97.71,mango
26.72,55.89,21.51,28.92,56.39,6.41,161.03,pigeonpeas
106.99,12.94,49.3,28.4,93.09,5.82,25.42,muskmelon
26.25,13.5,31.61,30.8,45.31,5.03,85.1,mango
21.37,41.46,19.56,28.98,44.93,7.25,63.6,mothbeans
39.16,70.98,16.66,29.81,34.53,6.43,135.87,pigeonpeas
94.78,20.75,52.03,28.01,93.64,6.81,20.83,muskmelon
108.27,50.07,43.63,23.04,91.8,5.98,214.29,rice
19.59,44.0,38.61,19.13,91.84,5.47,108.82,pomegranate
96.51,37.12,48.35,28.26,91.82,6.48,23.54,muskmelon
19.21,72.69,22.25,29.64,61.83,5.01,200.02,pigeonpeas
31.75,146.02,192.13,21.06,92.19,5.62,112.79,apple
15.48,51.68,21.68,29.98,78.77,6.84,49.08,mungbean
105.77,48.98,40.93,22.44,85.22,5.69,275.03,rice
21.72,69.1,17.76,17.79,19.51,5.83,95.73,kidneybeans
12.57,123.07,193.25,22.33,93.84,6.0,117.87,apple
95.28,55.44,40.16,21.61,83.21,6.0,218.09,rice
26.45,27.87,35.53,30.41,49.86,6.45,95.57,mango
62.29,71.26,53.34,29.43,91.63,6.73,238.69,papaya
28.47,40.13,20.43,29.34,56.46,8.19,55.71,mothbeans
115.13,56.13,21.4,24.83,83.07,6.45,89.28,cotton
21.54,9.0,43.76,21.02,92.43,5.84,106.9,pomegranate
9.63,74.74,19.16,29.52,61.97,4.89,128.72,pigeonpeas
52.13,53.77,51.32,36.37,93.95,6.87,170.79,papaya
25.39,62.78,20.9,23.35,62.65,6.75,49.64,lentil
93.76,46.56,20.31,22.11,65.08,5.84,67.0,maize
50.73,65.22,82.25,17.96,14.05,7.02,71.73,chickpea
86.86,26.04,51.25,28.89,93.83,6.31,23.67,muskmelon
124.35,43.22,16.28,23.07,78.12,6.45,91.52,cotton
23.91,68.14,23.87,16.33,18.8,5.77,85.64,kidneybeans
31.49,63.87,91.18,20.67,17.59,5.8,83.33,chickpea
21.77,38.22,19.48,31.01,76.77,6.35,55.63,mungbean
89.41,13.87,30.28,26.49,59.46,6.55,180.81,coffee
92.73,34.03,33.04,24.34,61.54,7.44,180.19,coffee
23.04,17.56,13.64,18.82,92.74,6.93,109.53,orange
89.93,26.26,44.6,25.86,86.65,6.69,46.02,watermelon
20.58,12.12,12.87,21.08,93.31,6.77,118.59,orange
28.14,132.87,201.77,12.92,83.75,5.37,64.62,grapes
89.92,16.73,30.78,24.84,55.1,6.27,177.01,coffee
33.93,68.83,22.57,32.75,44.36,5.24,152.34,pigeonpeas
19.05,21.72,32.75,32.18,52.98,4.91,93.4,mango
18.2,134.32,191.59,21.86,90.45,5.94,120.07,apple
26.16,25.01,35.59,32.38,48.55,5.19,92.76,mango
16.84,44.0,49.07,21.44,90.64,6.01,112.16,pomegranate
97.56,18.35,32.83,26.14,63.96,7.23,164.68,coffee
19.99,69.33,19.53,16.87,28.79,5.37,163.73,pigeonpeas
113.6,32.96,29.97,23.89,57.18,7.35,192.32,coffee
13.36,146.88,192.45,22.27,81.97,6.48,62.53,grapes
90.88,38.47,21.94,26.02,82.26,6.37,79.79,cotton
22.05,13.24,36.9,19.75,87.69,5.89,112.59,pomegranate
42.77,59.43,51.36,28.98,92.41,6.73,116.03,papaya
14.05,140.06,198.57,22.08,92.19,6.41,111.03,apple
27.24,66.7,18.37,24.51,69.0,7.01,67.67,blackgram
21.91,66.94,19.91,19.28,64.95,5.78,163.29,pigeonpeas
86.15,32.41,48.06,24.92,87.48,6.03,41.79,watermelon
33.9,59.55,48.06,32.2,92.89,6.72,157.1,papaya
25.04,61.76,23.31,29.58,65.2,7.03,68.48,blackgram
25.95,147.68,192.25,31.77,83.66,5.92,70.72,grapes
13.91,64.45,16.41,26.08,66.79,5.6,51.67,lentil
100.21,53.41,39.22,24.07,84.67,5.79,257.85,rice
104.77,18.85,29.7,25.83,57.82,6.87,185.07,coffee
61.26,67.51,52.45,40.17,92.07,6.67,104.12,papaya
42.63,68.71,92.82,18.86,17.59,6.21,81.99,chickpea
90.41,31.71,31.79,23.93,52.67,6.75,197.4,coffee
68.45,32.51,36.48,21.75,90.56,6.05,163.44,jute
22.9,39.51,21.29,26.33,61.38,7.68,45.65,mothbeans
11.47,27.49,43.87,20.31,86.79,6.8,112.46,pomegranate
56.33,49.73,44.33,28.37,92.2,7.07,173.52,papaya
22.84,62.6,24.34,23.43,44.44,5.88,113.94,pigeonpeas
30.81,120.17,194.33,23.49,93.31,6.02,115.46,apple
37.33,64.59,19.62,18.37,20.32,5.77,75.52,kidneybeans
25.13,15.22,8.36,16.51,91.26,6.86,119.76,orange
22.22,39.07,18.21,29.04,47.41,7.02,42.54,mothbeans
105.71,55.68,42.39,24.64,84.21,6.03,216.82,rice
24.01,44.23,16.6,28.15,74.92,6.71,52.01,mungbean
85.54,27.71,48.01,26.31,85.56,6.65,52.79,watermelon
14.72,32.99,41.53,23.72,91.23,5.79,117.12,pomegranate
15.77,17.57,31.32,25.49,92.7,5.96,165.05,coconut
34.75,4.5,33.09,26.82,94.8,5.87,219.71,coconut
82.9,39.9,39.39,24.32,70.87,6.26,166.3,jute
19.98,17.66,49.24,22.47,87.66,6.66,111.0,pomegranate
32.57,60.32,22.05,21.19,19.32,5.64,97.72,kidneybeans
19.0,35.57,19.02,30.0,55.45,7.9,53.22,mothbeans
78.52,52.65,41.46,25.57,86.94,5.72,169.09,jute
32.93,73.05,18.09,18.57,22.02,5.72,98.41,kidneybeans
100.73,43.55,36.76,22.91,89.17,5.65,194.91,rice
20.07,63.14,18.37,22.84,63.41,6.33,46.8,lentil
53.27,56.87,49.75,37.75,94.59,6.78,179.39,papaya
15.48,23.74,44.75,19.39,92.02,5.93,107.59,pomegranate
25.11,19.6,11.1,19.5,91.76,6.99,98.09,orange
54.11,66.88,87.62,19.71,17.35,6.61,82.15,chickpea
83.31,50.67,34.67,27.1,77.12,5.77,171.81,jute
19.6,18.07,37.8,21.12,90.96,6.51,111.2,pomegranate
106.95,55.53,18.82,24.02,74.89,5.76,86.1,cotton
34.68,45.02,17.24,28.7,45.65,7.33,51.44,mothbeans
21.95,44.16,20.74,27.63,87.3,6.5,58.61,mungbean
30.14,130.24,197.75,22.72,82.08,6.12,68.5,grapes
12.36,48.69,19.91,29.68,80.54,7.9,61.8,mungbean
43.73,67.79,18.4,32.47,61.7,6.26,45.9,lentil
110.03,40.89,18.97,23.97,78.36,6.64,83.47,cotton
29.85,61.86,17.83,20.47,19.22,5.96,73.74,kidneybeans
11.41,21.56,22.5,31.66,47.15,5.79,86.87,mango
92.78,25.45,50.31,28.73,93.57,6.18,20.22,muskmelon
30.45,76.78,20.89,17.95,21.0,5.59,92.56,kidneybeans
22.75,14.71,13.32,22.72,91.6,5.91,105.04,orange
29.56,59.27,21.94,22.74,42.48,4.83,134.96,pigeonpeas
78.7,47.77,19.63,24.67,76.05,6.04,67.88,maize
81.65,54.58,39.58,25.15,79.53,6.2,166.65,jute
126.71,30.09,32.48,26.24,63.12,6.95,161.22,coffee
111.74,56.07,20.04,24.57,83.79,5.37,92.79,cotton
64.84,57.17,24.49,21.12,63.06,6.36,89.18,maize
25.09,60.02,19.34,28.11,68.0,6.24,44.56,lentil
20.43,71.39,21.57,17.09,22.34,5.67,88.16,kidneybeans
24.94,22.09,47.4,20.64,86.47,6.06,113.1,pomegranate
59.26,49.39,55.92,37.99,90.39,6.66,187.84,papaya
100.1,45.09,41.16,23.85,83.5,5.78,228.44,rice
15.4,68.68,22.52,21.54,51.85,6.34,150.37,pigeonpeas
92.16,30.16,49.41,29.69,93.13,6.38,24.97,muskmelon
14.53,43.08,19.34,27.51,79.73,6.99,62.14,mungbean
23.64,64.01,17.25,19.27,22.17,5.81,105.93,kidneybeans
65.21,48.65,19.96,23.8,65.6,5.89,99.96,maize
80.97,59.03,42.57,24.08,92.09,5.99,190.58,jute
19.67,69.77,22.22,17.76,17.09,5.77,90.46,kidneybeans
47.93,56.57,95.65,17.34,18.55,6.67,71.82,chickpea
124.61,44.28,24.39,25.55,80.08,6.83,97.83,cotton
26.46,41.13,20.52,30.92,48.36,8.31,48.22,mothbeans
6.68,138.94,199.58,21.28,93.45,6.23,113.28,apple
54.55,57.43,51.1,42.3,93.41,6.91,149.97,papaya
23.05,18.4,43.51,21.12,87.06,6.8,106.89,pomegranate
115.88,44.12,18.41,24.17,85.77,5.97,76.82,cotton
36.22,25.72,25.14,32.72,46.39,6.03,97.06,mango
26.69,133.01,196.38,30.77,81.29,5.47,65.91,grapes
35.09,26.41,41.8,31.53,52.12,4.36,107.09,mango
72.0,40.58,31.38,24.54,54.38,6.56,183.96,coffee
104.37,28.21,29.58,25.38,55.67,6.74,167.69,coffee
131.24,40.73,22.6,26.11,81.91,6.55,81.7,cotton
14.75,51.2,13.5,26.74,41.34,7.78,50.17,mothbeans
25.97,15.29,30.08,26.65,97.77,6.36,182.0,coconut
19.39,16.72,28.94,29.01,93.81,5.8,228.71,coconut
12.96,18.56,30.95,29.42,98.28,6.22,136.34,coconut
14.97,118.35,196.72,22.19,94.81,5.71,113.14,apple
25.58,24.89,14.4,29.46,89.0,6.85,116.54,orange
17.36,26.08,30.3,31.03,52.54,5.82,108.03,mango
9.67,23.88,40.28,33.97,52.29,5.13,103.08,mango
32.02,16.3,9.6,21.79,92.08,7.98,103.87,orange
103.96,83.56,47.88,27.56,78.11,5.97,112.23,banana
1.52,122.93,192.97,22.81,91.11,6.11,111.33,apple
27.22,132.17,203.1,21.68,83.48,5.84,72.48,grapes
44.16,59.89,23.41,28.49,67.28,7.34,67.28,blackgram
30.84,51.03,20.01,19.07,22.39,5.62,86.07,kidneybeans
28.04,127.64,193.8,7.2,82.43,6.04,65.18,grapes
115.02,64.31,18.58,23.56,77.81,6.73,76.27,cotton
13.7,55.22,18.53,19.1,63.94,6.44,40.55,lentil
77.54,83.72,54.8,25.88,79.44,6.07,102.21,banana
19.76,57.99,15.22,30.62,43.32,8.15,50.6,mothbeans
0.0,141.54,199.34,22.75,92.42,6.04,108.77,apple
74.55,48.36,40.74,24.41,87.25,5.72,178.27,jute
13.42,70.58,22.08,22.2,67.91,5.62,37.53,lentil
96.28,25.48,29.43,26.65,59.35,7.13,194.22,coffee
22.35,18.92,17.36,22.0,92.77,6.95,116.19,orange
20.77,58.16,23.14,22.51,61.83,6.19,45.34,lentil
45.18,64.19,17.83,29.97,65.34,7.84,64.08,blackgram
99.51,83.97,40.78,25.09,79.02,6.38,99.6,banana
36.37,63.75,15.33,20.26,19.97,5.85,60.37,kidneybeans
18.35,22.51,45.14,25.87,89.43,5.72,112.01,pomegranate
77.18,41.6,38.74,24.84,82.01,6.24,169.2,jute
27.27,58.15,52.15,29.13,91.45,6.52,228.47,papaya
32.58,67.22,23.45,21.99,64.86,5.9,45.04,lentil
13.88,25.91,31.55,28.48,96.47,6.04,217.87,coconut
28.61,64.08,19.32,21.43,23.01,5.59,95.37,kidneybeans
22.69,59.4,18.86,18.82,21.89,5.68,79.84,kidneybeans
33.55,45.08,17.25,30.84,44.15,7.11,59.26,mothbeans
38.96,59.12,51.93,37.92,93.22,6.69,182.51,papaya
31.78,74.51,87.5,18.99,16.51,6.31,86.19,chickpea
96.11,35.17,49.91,24.82,86.4,6.4,42.91,watermelon
34.74,31.67,31.43,34.95,49.25,4.98,94.14,mango
15.48,21.94,34.2,29.46,50.85,5.6,95.05,mango
88.77,46.12,20.07,22.97,54.79,6.16,76.48,maize
88.43,84.52,46.59,25.57,81.25,5.75,113.03,banana
82.75,47.19,37.47,24.05,82.73,5.22,283.97,rice
16.37,31.5,17.98,29.91,48.88,6.39,49.83,mothbeans
23.37,122.97,195.48,21.76,88.46,6.38,106.25,apple
30.64,74.48,23.62,17.87,19.01,5.7,88.25,kidneybeans
29.14,65.35,19.71,24.44,63.1,6.33,52.65,lentil
33.29,76.2,85.94,19.29,17.39,6.2,86.08,chickpea
28.73,69.45,24.25,20.38,21.29,5.87,72.09,kidneybeans
105.71,55.54,20.3,23.8,81.08,6.34,87.67,cotton
37.24,62.92,24.55,31.18,55.53,5.9,142.54,pigeonpeas
55.99,71.01,85.65,19.7,16.5,6.69,82.77,chickpea
38.67,61.41,94.42,18.88,13.74,6.57,75.99,chickpea
93.29,16.78,47.24,28.83,92.22,6.08,26.2,muskmelon
18.85,125.55,198.56,23.7,82.43,6.44,65.6,grapes
31.43,69.99,20.99,22.72,66.13,6.15,47.78,lentil
12.45,147.04,194.9,23.27,93.55,6.08,108.31,apple
24.57,54.22,20.53,29.76,78.41,6.84,60.18,mungbean
30.63,64.9,17.17,25.36,62.57,5.42,160.75,pigeonpeas
62.31,71.49,90.63,17.2,16.19,5.95,75.34,chickpea
133.07,54.71,19.23,24.23,76.7,6.44,82.74,cotton
18.0,71.74,83.41,17.17,17.77,6.77,78.97,chickpea
9.02,72.3,20.54,29.91,77.0,4.45,201.74,pigeonpeas
22.74,114.51,202.29,24.48,81.81,6.22,69.08,grapes
4.26,130.76,193.32,22.29,92.03,6.07,109.05,apple
33.67,67.03,19.2,18.77,19.75,6.01,64.9,kidneybeans
42.49,65.46,20.31,33.79,65.95,6.61,62.5,blackgram
48.95,57.3,17.74,25.48,64.31,6.73,65.57,blackgram
25.79,75.4,17.88,30.08,52.0,5.92,188.17,pigeonpeas
92.52,27.04,29.3,25.64,56.26,6.27,174.48,coffee
18.17,75.44,17.55,19.15,65.95,5.94,46.61,lentil
124.02,45.3,17.51,24.35,80.5,7.04,73.75,cotton
28.8,24.45,16.64,21.71,93.3,6.81,105.38,orange
9.0,27.6,44.35,25.11,90.4,6.56,109.02,pomegranate
23.79,14.6,17.84,29.82,92.63,6.36,103.87,orange
11.58,116.41,200.6,22.74,93.0,5.91,110.75,apple
26.34,55.18,21.51,26.3,63.64,7.18,59.57,mothbeans
105.22,25.76,31.41,24.28,60.36,7.05,136.32,coffee
22.32,83.99,20.75,22.84,59.49,6.77,38.27,lentil
92.13,48.39,25.8,23.38,65.96,6.13,86.67,maize
81.05,39.16,18.5,23.22,57.04,6.42,84.75,maize
10.36,15.13,47.41,21.02,88.32,5.78,107.22,pomegranate
109.46,28.78,48.65,27.02,91.88,6.42,24.22,muskmelon
84.75,47.34,22.04,25.63,67.79,6.25,68.6,maize
26.5,50.46,18.39,27.42,84.39,5.98,53.41,mungbean
92.94,42.65,40.31,24.22,78.43,5.99,165.21,jute
86.13,40.92,18.44,26.81,64.05,6.33,95.88,maize
18.47,72.03,21.12,23.52,62.7,6.28,37.18,lentil
38.93,70.3,77.68,17.87,15.21,6.3,92.99,chickpea
17.62,42.55,18.94,27.79,78.85,7.01,48.46,mungbean
19.97,16.49,33.43,28.12,92.3,5.75,171.52,coconut
23.77,24.03,38.5,27.64,91.72,5.85,199.07,coconut
120.74,62.95,19.92,23.79,82.16,6.12,80.85,cotton
28.82,75.0,18.77,15.22,21.93,5.67,70.13,kidneybeans
37.74,69.8,93.21,18.2,19.24,6.15,79.84,chickpea
33.46,48.04,18.13,29.98,43.37,7.61,46.42,mothbeans
96.42,15.66,37.85,25.31,65.19,6.29,187.45,coffee
55.89,59.74,17.19,27.26,64.83,6.91,68.7,blackgram
104.21,48.78,19.54,25.68,82.32,6.01,83.73,cotton
67.48,56.52,19.79,25.01,66.71,6.42,92.12,maize
18.74,52.28,16.14,26.73,49.47,5.72,48.23,mothbeans
18.3,72.49,15.32,25.94,62.25,6.72,45.81,lentil
27.54,63.37,21.75,19.24,21.74,5.68,58.08,kidneybeans
91.56,71.6,50.39,26.99,83.72,5.68,110.77,banana
110.27,20.14,50.91,25.12,85.46,6.72,42.9,watermelon
29.25,133.14,198.05,29.45,81.2,5.92,68.22,grapes
26.32,59.69,19.34,24.1,65.67,5.83,50.98,lentil
55.29,66.99,17.48,24.79,61.32,6.23,71.89,blackgram
104.04,59.43,40.44,23.95,84.81,5.03,239.2,rice
11.2,34.96,40.61,20.44,85.59,6.9,103.55,pomegranate
35.79,28.53,35.06,36.09,46.42,4.95,86.92,mango
11.94,15.01,31.05,26.47,96.47,5.93,211.1,coconut
121.48,43.48,20.65,23.67,82.2,6.37,76.85,cotton
12.33,44.55,15.06,29.5,29.51,6.8,34.42,mothbeans
20.75,52.7,20.52,28.27,82.48,7.04,54.06,mungbean
29.59,61.38,16.55,18.61,59.44,6.06,43.5,lentil
28.74,110.5,196.92,15.18,81.8,6.25,68.64,grapes
26.11,61.99,18.22,33.14,64.36,5.6,151.38,pigeonpeas
90.85,83.29,48.74,28.56,83.28,6.22,106.53,banana
81.37,45.22,20.46,19.47,60.14,6.7,76.79,maize
124.52,94.9,50.03,27.18,83.4,5.96,101.72,banana
91.66,23.24,51.72,28.91,91.62,6.29,26.64,muskmelon
31.64,145.45,194.9,24.16,81.73,5.51,66.34,grapes
14.3,67.93,22.16,18.92,67.05,6.56,49.77,lentil
96.9,20.69,52.18,25.88,84.53,6.85,46.7,watermelon
96.24,86.87,45.31,28.56,82.63,6.02,103.87,banana
0.0,117.66,195.32,22.5,92.32,5.97,115.05,apple
20.27,31.25,36.93,29.98,53.55,5.93,98.65,mango
27.53,53.07,20.01,29.24,57.29,7.37,52.34,mothbeans
101.17,83.98,47.65,25.83,79.49,6.4,94.6,banana
24.1,5.9,14.32,15.59,92.63,6.73,104.61,orange
26.01,17.39,12.06,21.82,92.35,7.44,113.04,orange
18.71,126.33,194.59,23.21,92.6,5.96,107.83,apple
81.26,43.13,39.8,25.46,84.54,6.08,170.25,jute
22.1,28.64,29.82,33.09,48.1,5.66,99.39,mango
94.4,53.74,41.53,23.46,85.29,6.23,222.25,rice
12.86,133.01,196.5,29.73,83.86,5.46,64.88,grapes
38.32,64.55,75.13,19.75,15.39,6.34,95.56,chickpea
54.92,62.27,48.86,36.14,92.09,6.84,153.91,papaya
97.55,34.49,24.24,22.97,64.52,6.05,89.99,maize
105.23,20.1,47.45,27.89,91.93,6.41,30.41,muskmelon
56.43,62.0,50.19,38.17,95.68,6.96,117.57,papaya
77.76,46.18,45.59,25.81,92.4,5.88,173.94,jute
65.93,41.73,16.62,20.3,70.27,5.89,117.9,maize
6.61,119.75,194.31,21.95,91.9,6.06,117.91,apple
35.4,65.61,13.5,25.78,49.36,5.12,134.54,pigeonpeas
115.1,25.96,28.9,25.43,63.18,6.88,208.1,coffee
1.1,123.82,199.18,22.84,94.19,6.3,110.72,apple
21.1,4.5,31.11,27.45,98.37,6.09,151.73,coconut
20.73,62.52,20.1,25.3,64.02,6.45,46.53,lentil
23.39,34.65,35.75,33.78,52.58,5.99,90.15,mango
86.39,16.68,54.28,28.53,92.2,6.2,26.12,muskmelon
91.96,53.01,41.39,25.61,76.92,6.46,175.54,jute
136.83,60.93,18.53,22.0,74.75,6.75,79.53,cotton
25.33,24.63,13.6,26.16,90.41,7.19,106.33,orange
22.84,26.84,41.49,18.8,93.99,6.29,117.16,pomegranate
45.65,77.72,19.45,30.17,65.48,7.65,54.5,blackgram
93.49,47.56,38.52,21.99,85.12,5.44,248.11,rice
33.85,43.58,20.11,28.1,41.24,4.52,52.42,mothbeans
80.02,19.71,51.24,28.98,91.65,6.42,23.51,muskmelon
93.2,26.39,56.0,24.85,90.1,7.0,47.14,watermelon
15.51,70.5,17.82,23.38,62.42,6.56,40.82,lentil
26.33,70.0,20.33,27.13,38.05,6.66,204.22,pigeonpeas
30.4,126.89,196.42,28.7,81.26,5.91,67.96,grapes
31.6,40.77,23.44,28.63,50.15,9.13,41.66,mothbeans
21.48,26.19,46.84,20.44,87.48,6.35,101.03,pomegranate
62.03,48.51,42.16,23.38,82.25,6.33,198.6,jute
95.67,27.94,47.68,24.59,88.11,6.68,47.75,watermelon
91.11,24.27,29.45,26.4,57.96,6.44,170.61,coffee
58.04,50.44,42.47,25.45,76.8,5.72,181.18,jute
11.65,130.45,195.46,21.98,92.41,6.09,103.52,apple
68.61,58.13,44.51,24.77,78.15,6.15,181.89,jute
34.28,10.51,15.58,33.0,92.5,6.59,110.62,orange
26.08,16.04,30.83,30.3,48.01,5.87,94.2,mango
28.65,80.15,20.02,18.17,20.46,5.73,102.16,kidneybeans
97.02,19.81,49.83,24.44,84.81,6.87,45.21,watermelon
22.75,79.4,24.06,38.04,48.41,5.93,104.5,pigeonpeas
109.94,45.21,13.5,24.4,78.39,6.67,83.9,cotton
17.21,17.55,8.44,10.47,93.41,7.29,112.34,orange
116.65,22.99,53.31,25.63,82.44,6.96,51.22,watermelon
105.05,22.25,49.02,29.98,93.67,6.31,26.43,muskmelon
122.32,55.72,18.58,24.4,79.82,6.41,73.45,cotton
34.63,77.38,17.46,17.08,19.11,5.72,90.83,kidneybeans
29.84,67.89,90.18,19.69,17.26,6.11,73.79,chickpea
34.9,68.43,21.93,35.95,67.07,7.18,62.47,blackgram
9.0,75.99,21.9,18.77,63.48,6.84,52.24,lentil
79.22,48.94,34.6,24.58,85.02,5.89,165.78,jute
19.13,31.4,43.43,21.48,92.2,6.43,117.23,pomegranate
109.1,29.8,50.89,28.0,92.25,6.48,26.37,muskmelon
24.15,18.32,29.22,27.28,91.04,6.09,199.57,coconut
107.6,77.25,53.43,26.75,78.32,6.17,109.47,banana
94.33,38.51,55.06,29.87,92.26,6.05,19.14,muskmelon
106.21,88.43,49.24,24.34,83.19,5.98,113.65,banana
67.74,38.35,20.56,24.86,73.42,6.08,98.48,maize
36.25,67.97,22.56,31.93,66.5,6.27,48.61,lentil
24.91,125.4,199.33,14.97,81.97,6.1,67.62,grapes
109.46,23.2,29.5,24.26,58.95,7.01,176.68,coffee
34.91,67.34,76.44,18.31,16.39,6.05,81.14,chickpea
33.75,50.82,14.55,28.84,80.39,6.93,41.88,mungbean
9.0,66.06,20.34,23.84,64.64,6.27,50.11,lentil
27.09,66.6,22.74,24.52,68.84,7.17,62.7,blackgram
104.85,77.19,50.76,25.22,77.76,5.84,103.12,banana
103.93,52.02,40.47,24.82,78.76,6.29,168.87,jute
31.69,20.54,31.71,34.49,48.1,5.56,102.88,mango
22.61,42.62,19.35,31.2,51.02,8.15,39.38,mothbeans
27.85,44.02,19.67,31.34,37.93,9.37,47.58,mothbeans
105.7,32.46,53.05,27.01,85.61,6.57,41.79,watermelon
28.47,69.17,17.94,28.7,68.31,7.06,65.79,blackgram
36.5,15.56,15.44,27.77,92.15,7.66,95.46,orange
108.2,21.49,48.0,26.26,81.78,6.42,48.73,watermelon
7.87,137.1,193.11,21.14,94.84,5.65,113.65,apple
15.91,116.79,188.21,21.72,93.89,5.9,111.44,apple
88.71,29.46,31.67,23.26,54.39,7.08,185.95,coffee
26.02,75.02,20.45,32.09,64.75,6.43,68.75,blackgram
83.9,30.65,47.29,25.25,88.67,6.15,41.75,watermelon
105.94,45.64,21.55,24.42,79.04,6.32,81.07,cotton
88.53,52.24,20.7,22.73,64.69,5.97,81.49,maize
35.19,83.37,19.9,26.49,64.66,6.94,73.37,blackgram
20.66,130.08,197.26,25.79,81.45,5.87,68.58,grapes
32.08,65.58,75.66,19.21,17.0,5.94,84.94,chickpea
24.43,140.95,195.03,19.95,82.48,5.86,68.07,grapes
35.06,18.08,30.34,25.69,94.23,5.94,166.34,coconut
103.6,89.92,47.59,25.77,78.19,6.08,103.21,banana
18.24,41.47,22.7,30.68,84.33,7.15,50.6,mungbean
42.62,43.02,18.96,27.87,47.97,7.18,59.63,mothbeans
123.3,41.8,20.65,23.38,79.31,6.63,89.09,cotton
29.99,78.81,19.45,17.02,20.02,5.61,75.19,kidneybeans
125.05,47.82,20.43,22.11,79.07,5.99,73.41,cotton
101.43,16.93,50.84,25.16,87.62,6.69,45.64,watermelon
23.92,17.71,32.72,27.36,95.04,5.85,194.69,coconut
30.45,133.57,203.44,18.28,82.69,5.93,71.96,grapes
10.97,135.67,199.13,22.26,94.5,6.39,118.33,apple
44.7,54.85,48.74,38.09,92.11,6.53,142.46,papaya
105.88,51.4,38.44,23.14,83.77,5.53,265.49,rice
112.95,23.78,52.99,25.14,85.67,6.55,47.33,watermelon
96.44,29.76,30.14,26.45,52.41,7.37,181.56,coffee
